Year,State/UT,District,crime_against_children,crime_against_women,cyber_crime,ipc_by_juveniles,ipc,missing_persons,sc_crime,sll_crime,sll_juveniles,st_crime,latitude,longitude
2017,A&N Islands,Nicobar,8,8,0,1,21,0,0,190,0,1,7.0,93.8
2017,A&N Islands,North & Middle Andaman,42,53,0,3,167,0,0,679,1,0,13.2277143,92.9394925
2017,Andhra Pradesh,Anantapur,120,0,45,115,8119,0,153,513,0,54,14.68,77.6
2017,Andhra Pradesh,Chittoor,81,0,4,11,3804,15,37,704,0,11,13.325036,79.6480611
2017,Andhra Pradesh,Cuddapah,118,0,48,48,14502,9,125,4412,2,3,14.47,78.82
2017,Andhra Pradesh,East Godavari,167,0,39,101,9041,30,194,687,4,25,16.9956639,81.7154378
2017,Andhra Pradesh,Guntur,185,0,34,68,12489,27,98,168,0,39,16.2915189,80.4541588
2017,Andhra Pradesh,Guntur Urban,167,0,47,25,4530,28,77,348,1,21,16.3,80.45
2017,Andhra Pradesh,Krishna,183,0,11,23,6920,20,100,256,0,18,16.2135466,81.0277844
2017,Andhra Pradesh,Kurnool,99,0,53,27,7859,9,175,2340,0,6,15.8309251,78.0425373
2017,Andhra Pradesh,Nellore,89,0,0,64,11460,18,161,341,0,41,14.45,79.98
2017,Andhra Pradesh,Prakasham,218,0,32,41,6528,13,214,512,0,38,15.6642644,79.4733001
2017,Andhra Pradesh,Rajahmundry,46,0,5,105,2374,6,29,192,0,2,17.0,81.78
2017,Andhra Pradesh,Srikakulam,61,0,32,22,3287,9,39,270,0,9,18.2949307,83.8938844
2017,Andhra Pradesh,Tirupathi Urban,51,0,29,0,4427,40,76,197,0,15,13.63,79.41
2017,Andhra Pradesh,Vijayawada City,252,0,186,163,7086,37,36,285,1,7,16.52,80.63
2017,Andhra Pradesh,Visakha Rural,36,0,2,16,2965,7,49,766,7,14,17.69,83.21
2017,Andhra Pradesh,Visakhapatnam,204,0,309,160,6888,36,132,889,2,2,17.6935526,83.2921297
2017,Andhra Pradesh,Vizianagaram,50,0,16,22,9410,14,66,915,0,7,18.1141255,83.4114389
2017,Andhra Pradesh,West Godavari,261,0,39,90,8676,25,204,1793,0,28,16.6443029,81.5885247
2017,Andhra Pradesh,Anantapur,0,1100,0,0,0,0,0,0,0,0,14.68,77.6
2017,Andhra Pradesh,Chittoor,0,505,0,0,0,0,0,0,0,0,13.325036,79.6480611
2017,Andhra Pradesh,Cuddapah,0,1290,0,0,0,0,0,0,0,0,14.47,78.82
2017,Andhra Pradesh,East Godavari,0,1410,0,0,0,0,0,0,0,0,16.9956639,81.7154378
2017,Andhra Pradesh,Guntur,0,1544,0,0,0,0,0,0,0,0,16.2915189,80.4541588
2017,Andhra Pradesh,Guntur Urban,0,889,0,0,0,0,0,0,0,0,16.3,80.45
2017,Andhra Pradesh,Krishna,0,1518,0,0,0,0,0,0,0,0,16.2135466,81.0277844
2017,Andhra Pradesh,Kurnool,0,1658,0,0,0,0,0,0,0,0,15.8309251,78.0425373
2017,Andhra Pradesh,Nellore,0,1014,0,0,0,0,0,0,0,0,14.45,79.98
